Mediocre
Bland
Bad
Over
Dry
Sloppy
Undercooked
Mush
Greasy
Passe
Card Board
Substandard 
Overly
Cold
Stale
Overpriced
Subpar
Overdone
Ordinary 
Interesting
Limp
Flat
Flavorless
Average
Gross
Meh
Lame
Cold
Canned
Slimy
Boring
Messy
Soggy
Blah
Cheap
Generic
Frozen
