Negative
Terrible
Slow
Lazy
Waited
Wait
Finally
Condescending
Snooty
Negative
Attitude
Challenge 
Expensive
Forever
Busy
Unacknowledged 
Uninviting
Ignore
Ignored
Loudly
Loud
Horrible
Filthy
Brutal
Rude
Poor
Deceptive
Yell
Yelled
Snapped
Lecture
Empty
Awful
Frustrating
Abysmal
Overcharged
